时间,主驾设置温度,副驾设置温度,模式,内外气,风挡,A/C,PTC,压力采集电压,车内温度,蒸发温度,车外温度,阳光温度,TDBase,TDBaseDep,电磁阀状态,HVAC位置,电池PWM值,HVACPWM值,电子膨胀阀步数,K1,K2,K3,K4,OFFSET,模式当前位置,左冷暖当前位置,右冷暖当前位置,内外循环当前位置,HVAC水阀当前位置,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0
14:41:02,22,872,AUTO,AUTO,AUTO,AUTO,AUTO,193,27.8,0,31.8,122,44,44,1,7,10.1,10.1,0,8,6,2.5,34,115,233,213,211,242,8,,,,,,,,,,,
14:43:04,22,0,AUTO,AUTO,AUTO,AUTO,AUTO,195,28.3,0,32.2,123,35,35,0,7,10.1,10.1,0,8,6,3.1,34,110,132,127,123,242,8,,,,,,,,,,,
14:51:50,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,198,30,0,33.9,126,23,23,0,7,10.1,85.1,0,8,6,5.5,34,110,155,152,165,206,7,,,,,,,,,,,
14:51:51,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,199,30,0,33.9,126,23,23,0,7,10.1,85.1,0,8,6,5.5,34,110,225,220,225,94,8,,,,,,,,,,,
14:51:52,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,236,30,0,33.9,126,23,23,0,7,10.1,85.1,0,8,6,5.5,34,110,233,223,224,18,8,,,,,,,,,,,
14:51:53,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,247,30.1,0,33.9,126,23,23,0,7,10.1,85.1,0,8,6,5.5,34,110,233,223,224,18,8,,,,,,,,,,,
14:51:54,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,252,30.2,0,33.9,124,23,23,0,7,10.1,85.1,0,8,6,5.5,34,110,233,223,224,18,8,,,,,,,,,,,
14:51:55,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,254,30.3,0,33.9,120,20,20,0,7,10.1,85.1,0,8,6,5.5,34,110,233,223,224,18,7,,,,,,,,,,,
14:51:56,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,251,30.4,0,33.9,124,20,20,0,7,10.1,85.1,0,8,6,5.5,34,110,233,223,224,18,8,,,,,,,,,,,
14:51:57,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,252,30.5,0,33.9,124,20,20,0,7,10.1,85.1,0,8,6,5.5,34,110,233,223,224,18,7,,,,,,,,,,,
14:51:58,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,252,30.6,0,33.9,130,20,20,0,7,10.1,85.1,0,8,6,5.5,34,110,233,224,224,17,8,,,,,,,,,,,
14:51:59,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,243,30.7,0,33.9,138,20,20,0,7,10.1,85.1,0,8,6,5.5,33.9,110,233,223,224,18,8,,,,,,,,,,,
14:52:00,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,248,30.8,0,33.9,139,20,20,0,7,10.1,10.1,0,8,6,5.5,33.9,110,233,223,224,18,8,,,,,,,,,,,
14:52:01,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,256,30.9,0,33.9,139,20,20,0,7,10.1,10.1,0,8,6,5.5,33.8,110,233,223,224,18,8,,,,,,,,,,,
14:52:02,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,262,31,0,33.9,139,20,20,0,7,10.1,10.1,0,8,6,5.5,33.8,110,233,223,224,18,7,,,,,,,,,,,
14:52:03,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,269,31.1,0,33.9,139,20,20,0,7,10.1,10.1,0,8,6,5.5,33.7,110,233,223,224,17,7,,,,,,,,,,,
14:52:04,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,272,31.2,0,33.9,138,20,20,0,7,10.1,10.1,0,8,6,5.5,33.7,110,233,223,224,18,7,,,,,,,,,,,
14:52:05,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,273,31.3,0,33.9,138,15,15,0,7,10.1,10.1,0,8,6,5.5,33.6,110,233,223,224,18,7,,,,,,,,,,,
14:52:06,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,273,31.4,0,33.9,139,15,15,0,7,10.1,10.1,0,8,6,5.5,33.6,110,233,223,224,18,8,,,,,,,,,,,
14:52:07,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,270,31.5,0,33.8,139,15,15,0,7,10.1,10.1,0,8,6,5.3,33.5,110,233,223,224,18,8,,,,,,,,,,,
14:52:08,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,268,31.5,0,33.8,139,15,15,0,7,10.1,10.1,0,8,6,5.3,33.5,110,233,223,224,18,8,,,,,,,,,,,
14:52:09,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,269,31.5,0,33.8,138,15,15,0,7,10.1,10.1,0,8,6,5.3,33.4,110,233,223,224,18,7,,,,,,,,,,,
14:52:10,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,271,31.5,0,33.8,135,15,15,0,7,10.1,10.1,0,8,6,5.3,33.5,110,233,223,224,18,8,,,,,,,,,,,
14:52:11,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,274,31.5,0,33.8,131,15,15,0,7,10.1,10.1,0,8,6,5.3,33.7,110,233,223,224,18,8,,,,,,,,,,,
14:52:12,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,277,31.5,0,33.7,129,15,15,0,7,10.1,10.1,0,8,6,5.2,33.9,110,233,223,224,18,8,,,,,,,,,,,
14:52:13,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,280,31.5,0,33.7,128,15,15,0,7,10.1,10.1,0,8,6,5.2,34,110,233,223,224,18,7,,,,,,,,,,,
14:52:14,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,280,31.4,0,33.7,127,15,15,0,7,10.1,10.1,0,8,6,5.2,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:15,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,281,31.4,0,33.7,127,15,15,0,7,10.1,10.1,0,8,6,5.2,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:16,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,281,31.4,0,33.6,126,15,15,0,7,10.1,10.1,0,8,6,5,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:17,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,282,31.3,0,33.6,126,15,15,0,7,10.1,10.1,0,8,6,5,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:18,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,282,31.4,0,33.6,125,15,15,0,7,10.1,10.1,0,8,6,5,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:19,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,279,31.4,0,33.6,124,15,15,0,7,10.1,10.1,0,8,6,5,34,110,233,223,224,18,7,,,,,,,,,,,
14:52:20,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,278,31.4,0,33.6,125,15,15,0,7,10.1,10.1,0,8,6,5,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:21,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,278,31.4,0,33.5,126,15,15,0,7,10.1,10.1,0,8,6,4.9,34,110,233,223,224,18,7,,,,,,,,,,,
14:52:22,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,285,31.3,0,33.5,126,15,15,0,7,10.1,10.1,0,8,6,4.9,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:23,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,288,31.3,0,33.5,125,15,15,0,7,10.1,10.1,0,8,6,4.9,34,110,233,223,224,18,7,,,,,,,,,,,
14:52:24,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,288,31.3,0,33.5,125,15,15,0,7,10.1,10.1,0,8,6,4.9,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:25,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,289,31.3,0,33.4,124,15,15,0,7,10.1,10.1,0,8,6,4.8,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:26,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,289,31.3,0,33.4,123,15,15,0,7,10.1,10.1,0,8,6,4.8,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:27,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,288,31.3,0,33.4,124,15,15,0,7,10.1,10.1,0,8,6,4.8,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:28,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,288,31.3,0,33.4,124,15,15,0,7,10.1,10.1,0,8,6,4.8,34,110,233,223,224,17,8,,,,,,,,,,,
14:52:29,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,287,31.3,0,33.4,125,15,15,0,7,10.1,10.1,0,8,6,4.8,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:31,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,288,31.3,0,33.3,124,15,15,0,7,10.1,10.1,0,8,6,4.6,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:32,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,288,31.3,0,33.3,124,15,15,0,7,10.1,10.1,0,8,6,4.6,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:33,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,289,31.3,0,33.3,124,15,15,0,7,10.1,10.1,0,8,6,4.6,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:34,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,290,31.2,0,33.3,123,15,15,0,7,10.1,10.1,0,8,6,4.6,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:35,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,291,31.2,0,33.2,124,15,15,0,7,10.1,10.1,0,8,6,4.5,34,110,233,223,224,18,7,,,,,,,,,,,
14:52:36,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,292,31.3,0,33.2,123,15,15,0,7,10.1,10.1,0,8,6,4.5,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:37,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,292,31.2,0,33.2,123,15,15,0,7,10.1,10.1,0,8,6,4.5,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:38,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,296,31.2,0,33.2,123,15,15,0,7,10.1,10.1,0,8,6,4.5,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:39,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,297,31.3,0,33.1,124,15,15,0,7,10.1,10.1,0,8,6,4.3,34,110,233,223,224,18,7,,,,,,,,,,,
14:52:40,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,297,31.2,0,33.1,124,15,15,0,7,10.1,10.1,0,8,6,4.3,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:41,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,297,31.2,0,33.1,123,15,15,0,7,10.1,10.1,0,8,6,4.3,34,110,233,223,224,18,7,,,,,,,,,,,
14:52:42,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,297,31.2,0,33.1,124,15,15,0,7,10.1,10.1,0,8,6,4.3,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:43,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,298,31.3,0,33.1,123,15,15,0,7,10.1,10.1,0,8,6,4.3,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:44,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,299,31.2,0,33,124,15,15,0,7,10.1,10.1,0,8,6,4.2,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:45,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,300,31.1,0,33,123,15,15,0,7,10.1,10.1,0,8,6,4.2,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:46,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,300,31.1,0,33,123,15,15,0,7,10.1,10.1,0,8,6,4.2,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:47,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,302,31.1,0,33,124,15,15,0,7,10.1,10.1,0,8,6,4.2,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:48,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,303,31.1,0,33,125,15,15,0,7,10.1,10.1,0,8,6,4.2,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:49,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,304,31.1,0,32.9,125,15,15,0,7,10.1,10.1,0,8,6,4.1,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:50,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,305,31.1,0,32.9,125,15,15,0,7,10.1,10.1,0,8,6,4.1,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:51,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,306,31.1,0,32.9,123,15,15,0,7,10.1,10.1,0,8,6,4.1,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:52,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,307,31.1,0,32.9,123,15,15,0,7,10.1,10.1,0,8,6,4.1,34,110,233,223,224,18,7,,,,,,,,,,,
14:52:53,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,308,31,0,32.8,123,18,18,0,7,10.1,10.1,0,8,6,3.9,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:54,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,308,31,0,32.8,124,18,18,0,7,10.1,10.1,0,8,6,3.9,34,110,233,223,224,17,8,,,,,,,,,,,
14:52:55,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,309,31,0,32.8,124,18,18,0,7,10.1,10.1,0,8,6,3.9,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:56,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,310,31,0,32.8,124,18,18,0,7,10.1,10.1,0,8,6,3.9,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:57,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,311,31,0,32.8,123,18,18,0,7,10.1,10.1,0,8,6,3.9,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:58,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,312,31,0,32.7,123,18,18,0,7,10.1,10.1,0,8,6,3.8,34,110,233,223,224,18,8,,,,,,,,,,,
14:52:59,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,313,31,0,32.7,123,18,18,0,7,10.1,10.1,0,8,6,3.8,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:00,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,313,31,0,32.7,123,18,18,0,7,10.1,10.1,0,8,6,3.8,34,110,233,223,224,17,8,,,,,,,,,,,
14:53:01,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,313,31,0,32.7,123,18,18,0,7,10.1,10.1,0,8,6,3.8,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:02,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,315,31,0,32.6,124,18,18,0,7,10.1,10.1,0,8,6,3.6,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:03,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,317,30.9,0,32.6,122,18,18,0,7,10.1,10.1,0,8,6,3.6,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:04,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,320,30.8,0,32.6,123,18,18,0,7,10.1,10.1,0,8,6,3.6,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:05,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,321,30.8,0,32.6,123,18,18,0,7,10.1,10.1,0,8,6,3.6,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:06,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,322,30.8,0,32.6,123,18,18,0,7,10.1,10.1,0,8,6,3.6,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:07,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,322,30.8,0,32.5,123,18,18,0,7,10.1,10.1,0,8,6,3.5,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:08,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,322,30.8,0,32.5,123,18,18,0,7,10.1,10.1,0,8,6,3.5,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:09,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,322,30.8,0,32.5,123,18,18,0,7,10.1,10.1,0,8,6,3.5,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:10,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,321,30.8,0,32.5,123,18,18,0,7,10.1,10.1,0,8,6,3.5,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:11,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,321,30.8,0,32.5,123,18,18,0,7,10.1,10.1,0,8,6,3.5,34,110,233,223,224,18,7,,,,,,,,,,,
14:53:12,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,322,30.8,0,32.4,122,18,18,0,7,10.1,10.1,0,8,6,3.4,34,110,233,223,224,18,7,,,,,,,,,,,
14:53:13,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,323,30.8,0,32.4,122,18,18,0,7,10.1,10.1,0,8,6,3.4,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:14,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,324,30.8,0,32.4,123,18,18,0,7,10.1,10.1,0,8,6,3.4,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:15,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,324,30.7,0,32.4,123,18,18,0,7,10.1,10.1,0,8,6,3.4,34,110,233,223,224,18,7,,,,,,,,,,,
14:53:16,22,5000,AUTO,AUTO,AUTO,AUTO,AUTO,326,30.7,0,32.3,122,18,18,0,7,10.1,10.1,0,8,6,3.2,34,110,233,223,224,17,8,,,,,,,,,,,
14:53:17,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,324,30.6,0,32.3,122,21,21,0,7,10.1,10.1,0,8,6,3.2,34,110,233,223,224,18,8,,,,,,,,,,,
14:53:18,22,1450,AUTO,AUTO,AUTO,AUTO,AUTO,325,30.6,0,32.3,123,21,21,0,7,10.1,10.1,0,8,6,3.2,34,110,233,223,224,18,7,,,,,,,,,,,
